PlotID,TotalMassLv_Mg_ha,TotalMassDd_Mg_ha,CarbonLv_Mg_ha,CarbonDd_Mg_ha,Carbon_Mg_ha
FRA1_H_N,39.347520835702355,145.21502398047068,19.673760417851177,72.60751199023534,92.28127240808652
FRA1_H_Y,78.08947933953354,108.6514749853271,39.04473966976677,54.32573749266355,93.37047716243032
FRA2_L_Y,94.88899288553247,183.16452190762325,47.44449644276624,91.5822609538116,139.02675739657786
FRA3_C_N,35.774221347072974,180.51124578275227,17.887110673536487,90.25562289137612,108.14273356491262
FRA4_M_N,70.93515986878971,103.04042467057292,35.467579934394855,51.52021233528646,86.98779226968131
FRA4_M_Y,107.03055022368282,90.15676881616096,53.51527511184141,45.07838440808048,98.59365951992189
FRA5_X_N,35.067612719904986,149.0103470746546,17.533806359952493,74.5051735373273,92.0389798972798
FRA5_X_Y,68.01703672235561,83.77028812779265,34.008518361177806,41.88514406389633,75.89366242507413
FRB1_H_N,86.44050545499513,123.512044878845,43.22025272749757,61.756022439422495,104.97627516692006
FRB1_H_Y,83.88309883901455,115.7958048456766,41.941549419507275,57.8979024228383,99.83945184234555
FRB2_C_N,42.96696405102309,175.97463276289824,21.483482025511545,87.98731638144912,109.47079840696068
FRB3_X_N,118.43551311573307,92.89473003169856,59.217756557866544,46.447365015849286,105.66512157371582
FRB3_X_Y,104.7542499158438,69.26426825790912,52.37712495792189,34.63213412895456,87.00925908687645
FRB4_M_Y,149.45397989214743,117.2778496711507,74.72698994607372,58.63892483557535,133.36591478164905
FRB5_L_Y,121.00130414825666,101.3455738827402,60.50065207412833,50.672786941370106,111.17343901549845
FRC2_L_Y,119.34139019140156,125.74390000956882,59.670695095700786,62.87195000478441,122.5426451004852
FRC3_C_N,53.59876340668391,245.80323791567508,26.79938170334195,122.90161895783754,149.7010006611795
FRC4_M_N,86.74647654158336,106.4362149180647,43.37323827079168,53.21810745903235,96.59134572982404
FRC5_H_N,88.0242402039227,124.68630593140423,44.01212010196135,62.34315296570212,106.35527306766346
FRC5_H_Y,164.5913900128094,105.533000643278,82.2956950064047,52.766500321639,135.06219532804369
FRD1_L_Y,48.52235124391639,101.88692375221991,24.261175621958195,50.94346187610996,75.20463749806815
FRD2_C_N,27.26829681099186,143.47090163582095,13.63414840549593,71.73545081791048,85.36959922340641
FRD3_M_N,31.016199044723212,114.10527124450944,15.508099522361606,57.05263562225472,72.56073514461633
FRD3_M_Y,67.6026241217559,88.73052306171846,33.80131206087795,44.36526153085923,78.16657359173718
FRD4_X_N,168.8957041197343,58.713997425077665,84.44785205986715,29.356998712538832,113.80485077240598
FRD4_X_Y,87.27158958425272,80.35840949367957,43.63579479212636,40.17920474683979,83.81499953896615
FRD5_H_N,55.07410114858568,147.02878516140186,27.53705057429284,73.51439258070093,101.05144315499376
FRD5_H_Y,46.38771102961848,94.0643882196249,23.19385551480924,47.03219410981245,70.2260496246217
