PlotID,Plot,Block,Treatment,TSI,Date,Aspect_deg,Slope_deg,Elevation_m
FRC2_L_Y,FRC2,C,Light,Y,20180723,313,5.6,2913
FRA5_X_Y,FRA5,A,Clearcut,Y,20180711,266,6.1,2829
FRA1_H_N,FRA1,A,Heavy,N,20180717,326,6.1,2833
FRB3_X_Y,FRB3,B,Clearcut,Y,20180716,40,7.6,2828
FRB3_X_N,FRB3,B,Clearcut,N,20180801,340,7.5,2806
FRC5_H_N,FRC5,C,Heavy,N,20180718,23,8,2908
FRA1_H_Y,FRA1,A,Heavy,Y,20180730,323,8.1,2847
FRA5_X_N,FRA5,A,Clearcut,N,20180731,294,8.3,2808
FRC3_C_N,FRC3,C,Control,N,20180705,310,9.3,2907
FRB2_C_N,FRB2,B,Control,N,20180716,221,10.2,2799
FRD4_X_N,FRD4,D,Clearcut,N,20180807,67,11.3,2912
FRA3_C_N,FRA3,A,Control,N,20180713,257,12,2822
FRB1_H_Y,FRB1,B,Heavy,Y,20180730,314,13.3,2857
FRC4_M_N,FRC4,C,Moderate,N,20180816,109,13.3,2855
FRC5_H_Y,FRC5,C,Heavy,Y,20180726,14,14.5,2921
FRA4_M_Y,FRA4,A,Moderate,Y,20180821,353,15.6,2999
FRB4_M_Y,FRB4,B,Moderate,Y,20180822,69,16.7,2804
FRD5_H_N,FRD5,D,Heavy,N,20180719,325,17,2977
FRD1_L_Y,FRD1,D,Light,Y,20180725,267,18.3,2928
FRB5_L_Y,FRB5,B,Light,Y,20180725,46,18.9,2852
FRD5_H_Y,FRD5,D,Heavy,Y,20180727,298,20.3,2963
FRD4_X_Y,FRD4,D,Clearcut,Y,20180710,250,20.9,2929
FRD3_M_Y,FRD3,D,Moderate,Y,20180820,252,20.8,2904
FRD3_M_N,FRD3,D,Moderate,N,20180813,275,21.1,2929
FRB1_H_N,FRB1,B,Heavy,N,20180720,343,22.2,2851
FRA4_M_N,FRA4,A,Moderate,N,20180810,348,22.2,2838
FRD2_C_N,FRD2,D,Control,N,20180711,255,22.6,2841
FRA2_L_Y,FRA2,A,Light,Y,20180724,357,25.9,2855
